duplicate_group_id,duplicate_index,duplicate_count,file_name,relative_path,source_collection,file_size_bytes,file_size_mib,modified_time,sha256,possible_year_from_filename,possible_title_from_filename
1883c42d45d708ad,1,2,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,docs/literature/pdfs/package_2000_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,package_2000_2026,2737173,2.610,2026-07-07T15:02:51,1883c42d45d708ad1283a50c9bd85828e8773425a25b7221f026931bc18d4045,,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel 2 images and KNDVI
1883c42d45d708ad,2,2,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,docs/literature/pdfs/package_2021_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,package_2021_2026,2737173,2.610,2026-07-07T14:41:18,1883c42d45d708ad1283a50c9bd85828e8773425a25b7221f026931bc18d4045,,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel 2 images and KNDVI
34e1fd60144a0f3b,1,3,EN009_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf,docs/literature/pdfs/package_2000_2026/EN009_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf,package_2000_2026,1354412,1.292,2026-07-07T14:48:37,34e1fd60144a0f3b35f1ff5aab06b56368e55979f6b7aa3815601d37bc8275cc,,EN009 Classification of Karst Rocky Desertification Levels in Jins
34e1fd60144a0f3b,2,3,EN08_Classification_of_Karst_Rocky_Desertification_Levels_in_Jinsha_County_Using_a_Feature_Spac.pdf,docs/literature/pdfs/package_2021_2026/EN08_Classification_of_Karst_Rocky_Desertification_Levels_in_Jinsha_County_Using_a_Feature_Spac.pdf,package_2021_2026,1354412,1.292,2026-07-07T13:52:36,34e1fd60144a0f3b35f1ff5aab06b56368e55979f6b7aa3815601d37bc8275cc,,EN08 Classification of Karst Rocky Desertification Levels in Jinsha County Using a Feature Spac
34e1fd60144a0f3b,3,3,2024_RemoteSens_16_4786_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf,docs/literature/pdfs/remote_sensing_only/2024_RemoteSens_16_4786_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf,remote_sensing_only,1354412,1.292,2026-07-07T13:35:08,34e1fd60144a0f3b35f1ff5aab06b56368e55979f6b7aa3815601d37bc8275cc,2024,2024 RemoteSens 16 4786 Classification of Karst Rocky Desertification Levels in Jins
3713d3038c949dd9,1,2,EN007_KRD_MESMA_SVM.pdf,docs/literature/pdfs/package_2000_2026/EN007_KRD_MESMA_SVM.pdf,package_2000_2026,1137782,1.085,2026-07-07T14:52:45,3713d3038c949dd9627428fe0ff78b3e07511523c5b8ad089ac8c0402c5c2bf7,,EN007 KRD MESMA SVM
3713d3038c949dd9,2,2,EN06_Monitoring_and_Classification_of_Karst_Rocky_Desertification_with_Landsat.pdf,docs/literature/pdfs/package_2021_2026/EN06_Monitoring_and_Classification_of_Karst_Rocky_Desertification_with_Landsat.pdf,package_2021_2026,1137782,1.085,2026-07-07T13:54:06,3713d3038c949dd9627428fe0ff78b3e07511523c5b8ad089ac8c0402c5c2bf7,,EN06 Monitoring and Classification of Karst Rocky Desertification with Landsat
68fa9d39935262aa,1,2,CN006_GEE.pdf,docs/literature/pdfs/package_2000_2026/CN006_GEE.pdf,package_2000_2026,1326106,1.265,2026-07-07T14:51:23,68fa9d39935262aa056e0b4e6f71231e1e477faad5959ea7dbc8ba6797589d71,,CN006 GEE
68fa9d39935262aa,2,2,CN04_GEE_KRD_spatiotemporal_evolution.pdf,docs/literature/pdfs/package_2021_2026/CN04_GEE_KRD_spatiotemporal_evolution.pdf,package_2021_2026,1326106,1.265,2026-07-07T13:53:56,68fa9d39935262aa056e0b4e6f71231e1e477faad5959ea7dbc8ba6797589d71,,CN04 GEE KRD spatiotemporal evolution
7061d41f23476135,1,2,EN016_Classification_of_rocky_desertification_degrees_and_analysis.pdf,docs/literature/pdfs/package_2000_2026/EN016_Classification_of_rocky_desertification_degrees_and_analysis.pdf,package_2000_2026,6765982,6.453,2026-07-07T14:48:47,7061d41f234761352bfd6ab9ba7dc3f090ae45cbebadd35dac167657c5063a71,,EN016 Classification of rocky desertification degrees and analysis
7061d41f23476135,2,2,EN15_Classification_of_rocky_desertification_degrees_and_spatiotemporal_distribution_patterns_u.pdf,docs/literature/pdfs/package_2021_2026/EN15_Classification_of_rocky_desertification_degrees_and_spatiotemporal_distribution_patterns_u.pdf,package_2021_2026,6765982,6.453,2026-07-07T13:50:31,7061d41f234761352bfd6ab9ba7dc3f090ae45cbebadd35dac167657c5063a71,,EN15 Classification of rocky desertification degrees and spatiotemporal distribution patterns u
8ae9b36df238e7ed,1,2,CN003_DeepLabV3.pdf,docs/literature/pdfs/package_2000_2026/CN003_DeepLabV3.pdf,package_2000_2026,2010807,1.918,2026-07-07T14:52:35,8ae9b36df238e7ed46ebc8a71faca0c088ef76d5e9fbd906a7b8b380f6a2e0df,,CN003 DeepLabV3
8ae9b36df238e7ed,2,2,CN02_DeepLabV3.pdf,docs/literature/pdfs/package_2021_2026/CN02_DeepLabV3.pdf,package_2021_2026,2010807,1.918,2026-07-07T13:53:05,8ae9b36df238e7ed46ebc8a71faca0c088ef76d5e9fbd906a7b8b380f6a2e0df,,CN02 DeepLabV3
