file_name,relative_path,source_collection,file_size_bytes,file_size_mib,modified_time,sha256,possible_year_from_filename,possible_title_from_filename
1-s2.0-S0303243421000441-main.pdf,docs/literature/pdfs/package_2000_2026/1-s2.0-S0303243421000441-main.pdf,package_2000_2026,23253544,22.176,2026-07-07T14:57:48,a333a6b65821a90dbefa04ed8b40dae20b43478660642af6e1ee4599902f7c89,,1 s2.0 S0303243421000441 main
1-s2.0-S0341816225009993-main.pdf,docs/literature/pdfs/package_2000_2026/1-s2.0-S0341816225009993-main.pdf,package_2000_2026,18944925,18.067,2026-07-07T14:59:50,a47a60d9fe914ec83e9ece28786dea6c02d675d7df861fb736a269ba408f7d0e,,1 s2.0 S0341816225009993 main
1-s2.0-S1470160X24010227-main.pdf,docs/literature/pdfs/package_2000_2026/1-s2.0-S1470160X24010227-main.pdf,package_2000_2026,14289615,13.628,2026-07-07T14:58:09,b84fff083ff463eae74a003075d71150b337b77cc4d5a32e6afba988c171fa35,,1 s2.0 S1470160X24010227 main
1-s2.0-S2307410825000665-main.pdf,docs/literature/pdfs/package_2000_2026/1-s2.0-S2307410825000665-main.pdf,package_2000_2026,11312948,10.789,2026-07-07T15:01:46,970545d390ead4e957192a1e7359c966fd3206a4c91092bb63410ef6b712c197,,1 s2.0 S2307410825000665 main
A_Rocky_Desertification_Land_Extraction_Method_Based_on_Spectral-Texture-Scattering-Terrain_Multisource_Features_With_Time_Series.pdf,docs/literature/pdfs/package_2000_2026/A_Rocky_Desertification_Land_Extraction_Method_Based_on_Spectral-Texture-Scattering-Terrain_Multisource_Features_With_Time_Series.pdf,package_2000_2026,10434578,9.951,2026-07-07T15:01:58,8521a66ed80896d0699d1cadcb30fb3d8dd6f302207de03b138831747ee0a87d,,A Rocky Desertification Land Extraction Method Based on Spectral Texture Scattering Terrain Multisource Features With Time Series
CN001_.pdf,docs/literature/pdfs/package_2000_2026/CN001_.pdf,package_2000_2026,5441178,5.189,2026-07-07T14:50:02,5c907d24807218f8e6c12fe8ea6c5022b7b0b7fb37424fcae821260a49d8e4f3,,CN001
CN002_.pdf,docs/literature/pdfs/package_2000_2026/CN002_.pdf,package_2000_2026,4892409,4.666,2026-07-07T14:50:12,f17e717310eced79afacc872ee18faac3c7fbae779568c5b33b25ef44818b407,,CN002
CN003_DeepLabV3.pdf,docs/literature/pdfs/package_2000_2026/CN003_DeepLabV3.pdf,package_2000_2026,2010807,1.918,2026-07-07T14:52:35,8ae9b36df238e7ed46ebc8a71faca0c088ef76d5e9fbd906a7b8b380f6a2e0df,,CN003 DeepLabV3
CN006_GEE.pdf,docs/literature/pdfs/package_2000_2026/CN006_GEE.pdf,package_2000_2026,1326106,1.265,2026-07-07T14:51:23,68fa9d39935262aa056e0b4e6f71231e1e477faad5959ea7dbc8ba6797589d71,,CN006 GEE
CN009_Remote_sensing_of_indicators_for_evaluating_karst_rocky_dese.pdf,docs/literature/pdfs/package_2000_2026/CN009_Remote_sensing_of_indicators_for_evaluating_karst_rocky_dese.pdf,package_2000_2026,1187565,1.133,2026-07-07T14:51:27,01595d8ef7a3bc338c7987fc0bf6f3577f360fccd8c0cee3aae916d0429d2ddd,,CN009 Remote sensing of indicators for evaluating karst rocky dese
Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,docs/literature/pdfs/package_2000_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,package_2000_2026,2737173,2.610,2026-07-07T15:02:51,1883c42d45d708ad1283a50c9bd85828e8773425a25b7221f026931bc18d4045,,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel 2 images and KNDVI
EN001_Extracting_Information_on_Rocky_Desertification_from_Satelli.pdf,docs/literature/pdfs/package_2000_2026/EN001_Extracting_Information_on_Rocky_Desertification_from_Satelli.pdf,package_2000_2026,5877176,5.605,2026-07-07T14:48:20,9c2ddd014243622f96e83c6e4eef33bad0b6003b041f06c11130803aff51d645,,EN001 Extracting Information on Rocky Desertification from Satelli
