canonical_paper_id,title,year,language,journal_or_source,doi,mapped_pdf_path,mapped_pdf_sha256,pdf_mapping_status,pdf_mapping_confidence,pdf_match_method,has_reader,has_paper_card,read_status,suggested_for_batch_03,notes
KRD0001,CNKI query bucket: 石漠化 + Google Earth Engine/GEE + 时空演变,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0002,CNKI query bucket: 石漠化 + 深度学习/语义分割/DeepLabV3+/U-Net,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0003,CNKI query bucket: 石漠化 + 裸岩率/基岩裸露率 + 遥感,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0004,CNKI query bucket: 石漠化 + 遥感 + 信息提取,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0005,CNKI query bucket: 石漠化 + 随机森林/支持向量机/机器学习,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0006,"Google Scholar query bucket: ""bare rock fraction"" ""karst"" ""remote sensing""",2000-2026,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0007,"Google Scholar query bucket: ""rocky desertification"" ""remote sensing"" ""classification""",2000-2026,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0008,WoS/Scopus query bucket: TOPIC=(karst rocky desertification) AND (classification OR extraction OR mapping OR monitoring),2000-2026,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0009,Long-term unreasonable land use and exposed bedrock in karst rocky desertification areas (Wang et al. 2004),2004,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0010,Karst rocky desertification and socio-economic constraints in Southwest China (Wang and Li 2007),2007,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0011,Extraction of rocky desertification information from remote sensing data (Hu et al. 2010),2010,Chinese,,,docs/literature/pdfs/remote_sensing_only/2023_RemoteSens_15_3056_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,a21fd900712d96465db9cbdc3815cdbd16a77ed8079d60179def91eb2467f6fc,needs_manual_check,0.74,low_confidence_pdf_filename_similarity,no,no,unread_no_pdf,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0012,一种基于多光谱遥感影像的喀斯特地区裸岩率的计算方法初探,2010,Chinese,遥感/工程应用中文期刊（万方）,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0013,石漠化遥感评价因子提取研究 / Remote sensing of indicators for evaluating karst rocky desertification,2011,Chinese,生态学相关期刊/中国生态系统研究网络存档,,docs/literature/pdfs/package_2000_2026/CN009_Remote_sensing_of_indicators_for_evaluating_karst_rocky_dese.pdf,01595d8ef7a3bc338c7987fc0bf6f3577f360fccd8c0cee3aae916d0429d2ddd,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0014,"Use of NDVI, KRDSI and LCA for rocky desertification extraction (Xiong et al. 2013)",2013,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0015,Assessing land degradation and desertification using vegetation index data: current frameworks and future directions,2014,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0016,Is Forest Restoration in the Southwest China Karst Promoted Mainly by Climate Change or Human-Induced Factors?,2014,,background,10.3390/rs6109895,docs/literature/pdfs/remote_sensing_only/2014_RemoteSens_6_9895_Is_Forest_Restoration_in_the_Southwest_China_Karst_Promoted_.pdf,df2115acc6afe47c8d856b3ab2d9d6e95ade4b469eda32a3d5c0647693b97575,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0017,Decision tree and fuzzy maximum likelihood classification for KRD (Li and Wu 2015),2015,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0018,Discussion on classification and grading of karst rocky desertification in Guizhou (Zhang and Wang 2015),2015,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0019,Fully Convolutional Networks for Semantic Segmentation,2015,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
