canonical_paper_id,all_source_paper_ids,title,translated_title,language,year,authors,journal_or_source,doi,url,topic_group,method_group,relevance_level,metadata_status,source_manifests,duplicate_group_id,deduplication_confidence,needs_manual_confirmation,notes
KRD0001,KRD0001,CNKI query bucket: 石漠化 + Google Earth Engine/GEE + 时空演变,,Chinese,2000-2026,,,,,gee_time_series,GEE,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Long-term monitoring and data processing method papers | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0002,KRD0002,CNKI query bucket: 石漠化 + 深度学习/语义分割/DeepLabV3+/U-Net,,Chinese,2000-2026,,,,,deep_learning_segmentation,DeepLabV3+; U-Net,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Relevant DL segmentation papers; likely few but important | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0003,KRD0003,CNKI query bucket: 石漠化 + 裸岩率/基岩裸露率 + 遥感,,Chinese,2000-2026,,,,,rocky_desertification_classification,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Directly relevant to FBR/bare-rock fraction | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0004,KRD0004,CNKI query bucket: 石漠化 + 遥感 + 信息提取,,Chinese,2000-2026,,,,,rocky_desertification_classification,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Large number of Chinese papers not reliably exposed to public web search | verify_in: CNKI advanced search | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0005,KRD0005,CNKI query bucket: 石漠化 + 随机森林/支持向量机/机器学习,,Chinese,2000-2026,,,,,rocky_desertification_classification,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Relevant ML classification papers | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0006,KRD0006,"Google Scholar query bucket: ""bare rock fraction"" ""karst"" ""remote sensing""",,English,2000-2026,,,,,bare_rock_fraction_fbr,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Covers fBR/FBR/exposed bedrock fraction studies | verify_in: Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0007,KRD0007,"Google Scholar query bucket: ""rocky desertification"" ""remote sensing"" ""classification""",,English,2000-2026,,,,,machine_learning,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,"Captures conference papers, theses and non-indexed journal papers | verify_in: Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md"
KRD0008,KRD0008,WoS/Scopus query bucket: TOPIC=(karst rocky desertification) AND (classification OR extraction OR mapping OR monitoring),,English,2000-2026,,,,,machine_learning,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Needed for rigorous exhaustive capture | verify_in: Web of Science/Scopus | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0009,KRD0009,Long-term unreasonable land use and exposed bedrock in karst rocky desertification areas (Wang et al. 2004),,English/Chinese,2004,,,,,bare_rock_fraction_fbr,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Found as cited background in Frontiers 2022; likely foundational KRD process paper | verify_in: CNKI/WoS/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0010,KRD0010,Karst rocky desertification and socio-economic constraints in Southwest China (Wang and Li 2007),,English/Chinese,2007,,,,,rocky_desertification_classification,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Cited by Frontiers 2022 as foundational KRD source | verify_in: CNKI/WoS/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0011,KRD0011,Extraction of rocky desertification information from remote sensing data (Hu et al. 2010),,Chinese,2010,,,,,rocky_desertification_classification,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Relevant grading/extraction standard; appears in user manuscript references | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
